"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","rede","matriculas_2020","address","Latitude","Longitude "
35113517,"AYRTON SENNA DA SILVA COLEGIO MUNICIPAL","extinta_2021","1_publica","pública ou conveniada",193,"VENEZUELA, SN RUA. JARDIM SAO LUIS. 06502-290 Santana de Parnaíba - SP.","-46.9307028"," -23.4443442"
35270131,"CARROSSEL DOURADO COLEGIO MUNICIPAL","extinta_2021","1_publica","pública ou conveniada",109,"CONCHAS, 771 AVENIDA. CIDADE SAO PEDRO - GLEBA B. 06535-205 Santana de Parnaíba - SP.","-46.8515857"," -23.4265389"
35004381,"CULTURA GINZELIS CENTRO EDUCACIONAL","extinta_2021","3_privada_nao_conveniada","privada",30,"SUDAO, 86 JARDIM SANTO ALBERTO. 09260-470 Santo André - SP.","-46.49348576"," -23.63642925"
35005339,"PEGA PEGA","extinta_2021","3_privada_nao_conveniada","privada",1,"MIQUELINA, 245 VILA CAMILOPOLIS. 09230-280 Santo André - SP.","NaN"," NaN"
35006513,"ESCOLA DE EDUCACAO E RECREACAO INFANTIL ESTACAO DA ALEGRIA","extinta_2021","3_privada_nao_conveniada","privada",1,NA,"NA"," NA"
35006577,"GROW UP ENSINO INFANTIL BILINGUE EIRELI","extinta_2021","3_privada_nao_conveniada","privada",116,NA,"NA"," NA"
35007217,"AMORA BABY KIDS BERCARIO E EDUCACAO INFANTIL LTDA - ME","paralisada_2021","3_privada_nao_conveniada","privada",35,NA,"NA"," NA"
35127474,"RENOVO ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",38,"PAULO NOVAIS, 194 RUA. VILA VITORIA. 09172-420 Santo André - SP.","-46.5093788"," -23.6933738"
35156085,"ESTACAO CRIANCA RECANTO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",30,"AVENIDA DOM BOSCO, 1090 AVENIDA. VILA LUCINDA. 09240-500 Santo André - SP.","-46.51625"," -23.62959"
35188475,"PATOTINHA II CENTRO RECREACAO INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",33,"RUA SARACANTA, 250 RUA. JARDIM GUARARA. 09170-790 Santo André - SP.","-46.5109285"," -23.7036527"
35188505,"VELEIRO AZUL UNIDADE INT INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",51,"GILDA, 126 AVENIDA. VILA GILDA. 09190-510 Santo André - SP.","-46.5377483"," -23.6761317"
35188591,"INN - FOKE CENTRO EDUCACIONAL","paralisada_2021","3_privada_nao_conveniada","privada",21,"RUA ESPANHA, 94 RUA. PARQUE DAS NACOES. 09210-010 Santo André - SP.","-46.528822"," -23.6362857"
35303859,"CRESCENDO E APRENDENDO ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",20,"JUQUIA, 912 RUA. VILA ELDIZIA. 09181-720 Santo André - SP.","-46.52748"," -23.68309"
