"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","matriculas_2020","address","Latitude","Longitude ","rede"
35293660,"ESC PART TIA ZENI C E R","extinta_2021","3_privada_nao_conveniada",6,"RUA FELICIANO DE MENDONCA, 75 JARDIM SAO PAULOZONA LESTE. 08460-365 São Paulo - SP.","-46.40117292"," -23.55417818","privada"
35293891,"ESCOLA ECEL EDUCACAO E LAZER LTDA","extinta_2021","3_privada_nao_conveniada",4,"AVENIDA CUPECE, 1949 JARDIM PRUDENCIA. 04365-000 São Paulo - SP.","-46.66441"," -23.66035","privada"
35294184,"ESCOLA DE EDUCACAO INFANTIL TIA PATY","paralisada_2021","3_privada_nao_conveniada",21,"RUA JOSE ANTONIOLI, 235 JARDIM MARISTELA. 02806-090 São Paulo - SP.","-46.69889"," -23.47211","privada"
35294202,"ESCOLA LI LU DI","paralisada_2021","3_privada_nao_conveniada",33,"RUA SITIANTES, 261 ITABERABA. 02737-000 São Paulo - SP.","-46.69085"," -23.49034","privada"
35294895,"FADELITO CENTRO DE CONVICENCIA INF SC LTDA UN I","paralisada_2021","3_privada_nao_conveniada",128,"RUA CENOBELINO SERRA, 71 JARDIM TRUSSARDI. 05518-010 São Paulo - SP.","-46.72815"," -23.58801","privada"
35297574,"CR P CONV JARDIM FLOR DE LIS V","extinta_2021","2_privada_conveniada",70,"TENENTE MIGUEL DELIA, 44 VILA ROSARIA. 08021-090 São Paulo - SP.","-46.4398"," -23.4992","pública ou conveniada"
35321059,"RENASCENDO COLEGIO","paralisada_2021","3_privada_nao_conveniada",53,"BERTIOGA, 116 RUA. CHACARA INGLESA. 04141-100 São Paulo - SP.","-46.6357701"," -23.6103607","privada"
35323901,"TURMA DO CHICO BENTO ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",24,"AVENIDA PARADA PINTO, 1150 VILA NOVA CACHOEIRINHA. 02611-003 São Paulo - SP.","-46.6592"," -23.46923","privada"
35335794,"JOAQUIM SOUZA COLEGIO EDUCACIONAL","paralisada_2021","3_privada_nao_conveniada",17,"EDUARDO SANDOZ, 55 RUA. VILA FIDALGO. 02321-050 São Paulo - SP.","-46.5893837"," -23.4446381","privada"
35344230,"INTERARTE COLEGIO UNIDADE II","paralisada_2021","3_privada_nao_conveniada",13,"JOSE BENEDITO SALINAS, 93 RUA. JARDIM ITAPEVA. 04674-200 São Paulo - SP.","-46.6886732"," -23.6641622","privada"
